Data,Projeto,Equipe,Equipamento,Horas Totais,Horas Trabalhadas,Horas Paradas,Parada DH_GEL,Parada Parc das artes,Parada Chuva,Parada Mecânica,Outros Motivos,Motivo / Justificativa,Responsável,Nº RDO,Centro de Custo,Observações
24/04/2026,88007 PP25067 - PARC DAS ARTES,2 TURNO,TORNEP,23:20,22:10,01:10,,,,01:10,01:10,Manutenção sistema de scção bomba emsco,,73,88007,
25/04/2026,88007 PP25067 - PARC DAS ARTES,2 TURNO,TORNEP,24:00:00,24:00:00,00:00,,,,,00:00,,,74,88007,Revezamento de equipe: no almoço/janta
26/04/2026,88007 PP25067 - PARC DAS ARTES,2 TURNO,TORNEP,24:00:00,24:00:00,00:00,,,,,00:00,,,75,88007,Revezamento de equipe: no almoço/janta
27/04/2026,88007 PP25067 - PARC DAS ARTES,1 TURNO,TORNEP,12:00,12:00,00:00,,,,,00:00,,,76,88007,
28/04/2026,88007 PP25067 - PARC DAS ARTES,1 TURNO,TORNEP,11:00,08:30,02:30,02:30,,,,02:30,Descarregando caminhão,,77,88007,
29/04/2026,88007 PP25067 - PARC DAS ARTES,2 TURNO,TORNEP,23:30,17:30,06:00,01:30,04:30,,,06:00,Admistrativo DH / Aguardando definição do parc das artes para desenvolvimento do poço,,78,88007,
30/04/2026,88007 PP25067 - PARC DAS ARTES,1 TURNO,TORNEP,12:00,12:00,00:00,,,,,00:00,DTM Parc das artes/Artesano,,79,88007,
01/05/2026,88007 PP25067 - PARC DAS ARTES,1 TURNO,TORNEP,11:00,08:30,02:30,02:30,,,,02:30,Aguardando jateador,,80,88007,
02/05/2026,88007 PP25067 - PARC DAS ARTES,1 TURNO,TORNEP,12:00,12:00,00:00,,,,,00:00,,,81,88007,
03/05/2026,88007 PP25067 - PARC DAS ARTES,1 TURNO,TORNEP,09:25,09:25,00:00,,,,,00:00,,,82,88007,
04/05/2026,88007 PP25067 - PARC DAS ARTES,1 TURNO,TORNEP,11:00,,11:00,,11:00,,,11:00,Aguardando decisão da saerp,,83,88007,
05/05/2026,88007 PP25067 - PARC DAS ARTES,1 TURNO,TORNEP,11:00,04:55,06:05,,06:05,,,06:05,"Aguardando decisão da saerp, se vai ou não assobrar mais o poço.",,84,88007,
06/05/2026,88007 PP25067 - PARC DAS ARTES,1 TURNO,TORNEP,11:00,03:00,08:00,,08:00,,,08:00,Aguardando decisão da saerp,,85,88007,
07/05/2026,88007 PP25067 - PARC DAS ARTES,1 TURNO,TORNEP,11:00,04:30,06:30,,06:30,,,06:30,Aguardando decisão da saerp,,86,88007,
08/05/2026,88007 PP25067 - PARC DAS ARTES,1 TURNO,TORNEP,11:00,11:00,00:00,,,,,00:00,,,87,88007,
09/05/2026,88007 PP25067 - PARC DAS ARTES,1 TURNO,TORNEP,11:00,11:00,00:00,,,,,00:00,DTM/Artesano / DH,,89,88007,
10/05/2026,88007 PP25067 - PARC DAS ARTES,1 TURNO,TORNEP,10:00,10:00,00:00,,,,,00:00,DTM/Artesano - organizando pátio,,90,88007,
11/05/2026,88007 PP25067 - PARC DAS ARTES,1 TURNO,TORNEP,10:25,04:00,06:25,06:25,,,,06:25,Aguardando retirada da bomba e sonda,,91,88007,
12/05/2026,88007 PP25067 - PARC DAS ARTES,1 TURNO,TORNEP,11:00,11:00,00:00,,,,,00:00,DTM/Artesano /MRV,,92,88007,
13/05/2026,88007 PP25067 - PARC DAS ARTES,1 TURNO,TORNEP,11:00,02:00,09:00,05:00,04:00,,,09:00,4hs aguardando retro da saerp/5hs aguardando bomba,,93,88007,
14/05/2026,88007 PP25067 - PARC DAS ARTES,1 TURNO,TORNEP,11:00,08:33,02:27,02:27,,,,02:27,Aguardando eletricista/DTM-Artesano,,94,88007,
15/05/2026,88007 PP25067 - PARC DAS ARTES,1 TURNO,TORNEP,11:00,09:30,01:30,,,01:30,,01:30,DTM/ Paralização por chuva,,95,88007,
16/05/2026,88007 PP25067 - PARC DAS ARTES,1 TURNO,TORNEP,11:00,11:00,00:00,,,,,00:00,,,96,88007,
17/05/2026,88007 PP25067 - PARC DAS ARTES,1 TURNO,TORNEP,11:00,11:00,00:00,,,,,00:00,,,97,88007,
18/05/2026,88007 PP25067 - PARC DAS ARTES,1 TURNO,TORNEP,11:00,11:00,00:00,,,,,00:00,,,98,88007,
19/05/2026,88007 PP25067 - PARC DAS ARTES,1 TURNO,TORNEP,12:00,12:00,00:00,,,,,00:00,Bombeamento,,99,88007,
20/05/2026,88007 PP25067 - PARC DAS ARTES,2 TURNO,TORNEP,24:00:00,24:00:00,00:00,,,,,00:00,Bombeamento,,100,88007,
21/05/2026,88007 PP25067 - PARC DAS ARTES,1 TURNO,TORNEP,11:00,11:00,00:00,,,,,00:00,Bombeamento,,101,88007,
22/05/2026,88007 PP25067 - PARC DAS ARTES,1 TURNO,TORNEP,11:00,11:00,00:00,,,,,00:00,Bombeamento,,102,88007,
23/05/2026,88007 PP25067 - PARC DAS ARTES,2 TURNO,TORNEP,24:00:00,22:30,01:30,,01:30,,,01:30,Aguardando ficais para o teste de vazão,,103,88007,teste de vazão
24/05/2026,88007 PP25067 - PARC DAS ARTES,1 TURNO,TORNEP,11:30,11:30,00:00,,,,,00:00,"teste de vazão do poço, recuperação de nível, testes escalonados",,104,88007,
25/05/2026,88007 PP25067 - PARC DAS ARTES,,TORNEP,,,00:00,,,,,00:00,,,105,88007,
26/05/2026,88007 PP25067 - PARC DAS ARTES,,TORNEP,,,00:00,,,,,00:00,,,106,88007,
27/05/2026,88007 PP25067 - PARC DAS ARTES,1 TURNO,TORNEP,,,00:00,,,,,00:00,,,107,88007,
28/05/2026,88007 PP25067 - PARC DAS ARTES,,TORNEP,12:00,10:00,02:00,02:00,,,,02:00,Deslocamento,,108,88007,Retirada de bomba
29/05/2026,88007 PP25067 - PARC DAS ARTES,1 TURNO,TORNEP,10:00,07:00,03:00,03:00,,,,03:00,Deslocamento/ a serviço do projeto,,109,88007,Cimentação do poço/ Integração da Gel Eng
30/05/2026,88007 PP25067 - PARC DAS ARTES,,TORNEP,,,00:00,,,,,00:00,,,110,88007,
31/05/2026,88007 PP25067 - PARC DAS ARTES,,TORNEP,,,00:00,,,,,,,,,,
